nct_id,brief_title,official_title,acronym,overall_status,start_date,primary_completion_date,completion_date,study_type,phases,enrollment_count,enrollment_type,conditions,intervention_names,lead_sponsor_name,lead_sponsor_class,minimum_age,maximum_age,sex,healthy_volunteers,brief_summary,has_results
NCT02625974,"A Study to Learn How Well Nifurtimox Works and How Safe it is in Children Aged 0 to 17 Years With Chagas' Disease, an Inflammatory, Infectious Disease Caused by the Parasite Trypanosoma Cruzi",,,COMPLETED,2016-01-27,2018-07-25,,INTERVENTIONAL,PHASE3,330,,Chagas Disease,"Nifurtimox (Lampit, BAYA2502);Placebo",Bayer,,,,,,,True
NCT07680595,Prospective Management of Plaque Instability With Statins and Extra Folic Acid,,,RECRUITING,2026-03-01,2027-09-01,,INTERVENTIONAL,PHASE1;PHASE2,180,,Carotid Atherosclerotic Plaque,Atorvastatin plus folic acid;Atorvastatin,Ruijin Hospital,,,,,,,False
NCT02172625,The Effect of Protandim Supplementation on Oxidative Damage and Athletic Performance,,,COMPLETED,2014-11,2015-06,,INTERVENTIONAL,NA,40,,Oxidative Stress,Protandim Dietary Supplement;Placebo Group,University of Louisville,,,,,,,True
NCT04575350,Reinterpretation of CNV With Unknown Significance: a 5-year Retrospective Analysis,,,COMPLETED,2019-01-01,2020-06-01,,OBSERVATIONAL,,282,,Genetic Disease;CNV;Genetic Counseling;Array CGH,reinterpretation of CNV,"Central Hospital, Nancy, France",,,,,,,False
NCT01298557,MEG and DTI of Neural Function and Connectivity in Traumatic Brain Injury,,,COMPLETED,2007-02,2013-02,,OBSERVATIONAL,,69,,Traumatic Brain Injury;Post-concussive Symptoms,,"University of California, San Francisco",,,,,,,False
NCT07373366,Assessment of Noninvasive Neuromodulation in a Group of Traumatic Brain Injured Patients and Healthy Volunteers,,,RECRUITING,2025-04-01,2026-12,,INTERVENTIONAL,PHASE2,60,,Traumatic Brain Injury,"Subjects in the intervention group receive low-frequency radioelectric therapy;Sham, the device simulates a therapy session",University of Sao Paulo,,,,,,,False
NCT07409155,Effects of a SVT on Agility and Reactive Agility in Adolescent Male Basketball Players,,,COMPLETED,2025-11-01,2026-01-10,,INTERVENTIONAL,NA,10,,Stroboscopic Visual Training,Neuromuscular exercise training with stroboscopic glassess;Control group,Hacettepe University,,,,,,,False
NCT05283356,Single Antiplatelet Treatment With Ticagrelor or Aspirin After Transcatheter Aortic Valve Implantation,,,RECRUITING,2022-01-21,2027-06-30,,INTERVENTIONAL,PHASE4,1206,,Severe Aortic Valve Stenosis;Aortic Valve Stenosis;Transcatheter Aortic Valve Replacement (TAVR);Transcatheter Aortic Valve Implantation (TAVI),Ticagrelor 60mg,Fundacin Biomedica Galicia Sur,,,,,,,False
NCT06388980,Knowledge and Needs of Nursing in Relation to the Treatment Complex Wounds,,,COMPLETED,2023-02-01,2023-06-01,,OBSERVATIONAL,,200,,"Nurse's Role;Knowledge, Attitudes, Practice;Wound",Validated questionnaires and ad hoc questions,Corporacion Parc Tauli,,,,,,,False
NCT03226899,A Phase 4 Safety and Efficacy Study to Evaluate Lesinurad 200 mg in Participants With Gout and Renal Impairment,,,TERMINATED,2017-07-19,2019-02-25,,INTERVENTIONAL,PHASE4,242,,Gout;Chronic Kidney Disease (CKD),Lesinurad;XOI;Placebo;colchicine;corticosteroids,"Ironwood Pharmaceuticals, Inc.",,,,,,,True
NCT02224066,Platelet Reactivity After TAVI: A Multicenter Pilot Study,,,COMPLETED,2016-01,2017-05,,INTERVENTIONAL,PHASE4,65,,Severe Aortic Valve Stenosis;Transcatheter Aortic Valve Implantation;Transcatheter Aortic Valve Replacement,Ticagrelor 90 mg twice per day during three months following TAVI;Aspirin 100 mg plus Clopidogrel 75 mg daily during three months following TAVI,Hospital de Meixoeiro,,,,,,,False
NCT03898323,Pilot Human Laboratory Study of Alcohol Approach Bias Modification (AABM) for Alcohol Use Disorder (AUD),,,COMPLETED,2019-02-01,2020-01-31,,INTERVENTIONAL,NA,3,,Alcohol Use Disorder,Alcohol Approach Bias Modification,"University of California, San Francisco",,,,,,,True
